id,d,n,m,K,ε,time,exact,sqerror,optval,dist_after_rounding,ν
15,2,4,2,2,0.4,0.268679806,true,1.8201742135696055e-17,0.03999999999891834,0.0399999999998257,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -0.0525612408668129; -0.13578095407437493; 0.13711618602190392]
16,2,4,2,2,0.4,0.230823852,true,3.496870060850216e-16,0.03999999999830384,0.04000000000000781,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.09568738741013326; 0.040782676481861554; -0.1708235849922337]
17,2,4,2,2,0.4,0.308375694,true,9.455187316213776e-18,0.03999999983928597,0.03999999999975784,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -0.08694513397801155; -0.15763201633235144; -0.087136049397152]
18,2,4,2,2,0.4,0.264188857,true,1.931992835997216e-11,0.0399999955496551,0.04000000011010699,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -0.043342976248857835; -0.16549474097692346; -0.10359959999378361]
19,2,4,2,2,0.4,0.199014483,true,2.8232124454888818e-14,0.03999997460028401,0.040000000450598955,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.15125576597219284; -0.011974804187309354; 0.13030079556488072]
20,2,4,2,2,0.4,0.247667158,true,1.3439799350112651e-14,0.03999999884348352,0.0400000001959909,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -0.13166049629467177; 0.14453969926202703; -0.0421163751132918]
21,2,4,2,2,0.4,0.254165314,true,1.7710301820518844e-12,0.03999999642065322,0.03999999992815351,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -4.182327939904639e-5; -0.08681787186485897; -0.18017395865016184]
22,2,4,2,2,0.4,0.188886277,true,4.055222664717445e-12,0.03999990990697988,0.03999998250140761,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -0.07092981025324262; -0.1700589538276837; 0.07777476609076202]
23,2,4,2,2,0.4,0.205536563,true,4.5804425377859695e-12,0.039999957094140504,0.03999998839612762,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.06749309040334432; -0.1434044146418657; 0.12198301770750652]
24,2,4,2,2,0.4,0.271313334,true,9.411119817671099e-14,0.0399999991898101,0.0399999999889084,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -0.018397087482456335; 0.07352235161002015; 0.18508379449831752]
25,2,4,2,2,0.4,0.219055412,true,1.1427548680350975e-13,0.03999999992443646,0.039999999998910046,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -0.10771599212247461; -0.16634146757441715; 0.026977420304026792]
26,2,4,2,2,0.4,0.209123618,true,1.594681925197606e-12,0.03999989169014018,0.03999998882201099,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.1537754740592935; 0.02435043199557392; -0.1255394760203677]
27,2,4,2,2,0.4,0.27676214,true,6.338756977379049e-14,0.03999999959230549,0.03999999999755613,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -0.12187855702004916; 0.15410041724437165; -0.03739891367167239]
28,2,4,2,2,0.4,0.232890646,true,1.0384371214267012e-12,0.03999997112246733,0.03999999355989649,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.15322300460385976; -0.11585885868438293; 0.05567257605426345]
29,2,4,2,2,0.4,0.276414431,true,8.842730113344228e-13,0.039999970735744524,0.03999998854571966,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.18235279294474047; 0.027630177769973254; -0.07735652643217826]
30,2,4,2,2,0.4,0.215339843,true,1.6528002322459034e-14,0.03999998046131166,0.04000000035592566,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.14945875133065892; 0.03487585991078174; 0.12824100766199473]
31,2,4,2,2,0.4,0.241281591,true,3.923950298090328e-18,0.03999999999775599,0.0400000000000361,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -0.07442008066211694; 0.11682731466801176; -0.1442672178344941]
32,2,4,2,2,0.4,0.271818733,true,1.7817315003991528e-10,0.03999992947735289,0.04000000003181523,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -0.10852539393853233; -0.15676399831762536; -0.060392778558019104]
33,2,4,2,2,0.4,0.211595286,true,2.514588713817643e-12,0.03999996625165647,0.03999998437668394,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.17075547343540273; -0.0715210866943351; -0.07567894323993218]
