id,d,n,m,K,ε,time,exact,sqerror,optval,dist_after_rounding,ν
55,2,3,1,2,0.4,0.004599532,true,4.0299539486778045e-9,0.03999995650223251,0.04000000078645623,[0.0; 0.0; 0.0; -0.10496813192207105; -0.16766723686897725; -0.02948540251570211]
56,2,3,1,2,0.4,0.004989225,true,8.348041482538695e-11,0.0399999963538864,0.0399999996051608,[0.0; 0.0; 0.0; -0.021258348178150022; 0.1982140986320531; -0.016101358210389223]
57,2,3,1,2,0.4,0.004567354,true,7.41433416092917e-10,0.03999998251750478,0.039999999958369295,[0.0; 0.0; 0.0; -0.14768774770498938; 0.08836971385510561; -0.10187798020668722]
58,2,3,1,2,0.4,0.004375624,true,1.5266170906777193e-9,0.039999977558197335,0.03999999997126498,[0.0; 0.0; 0.0; -0.1100391638144082; -0.10974784652140089; -0.12588404430642064]
59,2,3,1,2,0.4,0.004607366,true,1.8689739057596115e-9,0.039999980730220264,0.04000000054962375,[0.0; 0.0; 0.0; -0.029819930423273067; 0.06727268449222934; -0.18597085166971766]
60,2,3,1,2,0.4,0.004753938,true,4.992467145488707e-11,0.039999997362497736,0.03999999982108358,[0.0; 0.0; 0.0; 0.1911365570139537; 0.05695066968766092; 0.01494783579581242]
61,2,3,1,2,0.4,0.004643805,true,8.576915992350844e-11,0.03999999430301991,0.03999999984479479,[0.0; 0.0; 0.0; -0.1933817351216572; -0.04147769450224227; 0.02971708902493446]
62,2,3,1,2,0.4,0.004783486,true,1.8628937780091308e-10,0.03999999478219543,0.03999999959129111,[0.0; 0.0; 0.0; -0.08159983400464894; -0.16405662950201855; 0.08016788263919138]
63,2,3,1,2,0.4,0.004723158,true,7.809543796181823e-11,0.03999999656775377,0.03999999955457326,[0.0; 0.0; 0.0; 0.15936354649550358; -0.11767695493404676; 0.027484437884479098]
64,2,3,1,2,0.4,0.004737783,true,4.8268674952030875e-11,0.039999996727843073,0.03999999967098666,[0.0; 0.0; 0.0; 0.1746586290305282; -0.08398368300885993; -0.04940753276013356]
65,2,3,1,2,0.4,0.00521215,true,4.6039710932831614e-11,0.039999997741165104,0.03999999977964461,[0.0; 0.0; 0.0; 0.010090806774632963; 0.1467026647331023; -0.13555996377560747]
66,2,3,1,2,0.4,0.00489763,true,1.0576957827007426e-9,0.03999996950702178,0.03999999742008579,[0.0; 0.0; 0.0; -0.04179894496110808; -0.05491480494259823; 0.18771577557108687]
67,2,3,1,2,0.4,0.005249687,true,8.444626199045704e-11,0.039999995987818115,0.039999999474801554,[0.0; 0.0; 0.0; 0.13288459067033584; 0.14314570574320457; 0.04302316224613404]
68,2,3,1,2,0.4,0.004900355,true,1.9851877772320542e-10,0.03999998757965162,0.03999999825693572,[0.0; 0.0; 0.0; -0.1960013810943667; 0.039475672600990976; -0.005012971354416384]
69,2,3,1,2,0.4,0.005140953,true,2.3916109804547547e-10,0.039999995347982556,0.039999998459656176,[0.0; 0.0; 0.0; -0.13821320056162142; 0.13184478568825264; 0.059279538437235935]
70,2,3,1,2,0.4,0.004909731,true,1.270696328422635e-11,0.03999999824785461,0.03999999994738046,[0.0; 0.0; 0.0; 0.16729484221794272; -0.022750732362258604; 0.10721399136425491]
71,2,3,1,2,0.4,0.004814634,true,2.8310574792091112e-11,0.03999999808731913,0.03999999988542022,[0.0; 0.0; 0.0; 0.07316491628546573; -0.0028331770037060226; -0.18611520124107667]
72,2,3,1,2,0.4,0.004766477,true,2.755235793011174e-11,0.03999999821757384,0.039999999917670975,[0.0; 0.0; 0.0; 0.07982094542695754; 0.06865613356929952; -0.1700439707677434]
73,2,3,1,2,0.4,0.004335248,true,2.2018839811277048e-11,0.039999997606099826,0.04000000004386063,[0.0; 0.0; 0.0; -0.1999476689917718; 0.002353767238735099; -0.003922938253748712]
74,2,3,1,2,0.4,0.00458098,true,2.7288580989676333e-10,0.03999998900445932,0.03999999774949805,[0.0; 0.0; 0.0; -0.04909646016947072; 0.19091739732908497; 0.03376514468969271]
75,2,3,1,2,0.4,0.004565262,true,6.345510437434273e-11,0.03999999673631347,0.03999999963268015,[0.0; 0.0; 0.0; 0.1732649884243354; 0.09901955950715559; 0.013204946850472132]
76,2,3,1,2,0.4,0.004816997,true,2.40875156565071e-10,0.039999970530493686,0.03999999244373887,[0.0; 0.0; 0.0; 0.039538196555541576; -0.020474810221406507; 0.1949808020281298]
77,2,3,1,2,0.4,0.004563115,true,8.854218492974848e-11,0.03999999574178914,0.03999999939761052,[0.0; 0.0; 0.0; 0.11808031598393512; -0.16131895003725505; 0.005765009628063013]
78,2,3,1,2,0.4,0.004542411,true,6.290670344202039e-13,0.03999999812637652,0.03999999986802005,[0.0; 0.0; 0.0; -0.027581626452429717; -0.062165712425644816; 0.18808157294336592]
79,2,3,1,2,0.4,0.00578596,true,1.0919482571326015e-10,0.039999996790136216,0.039999999641808226,[0.0; 0.0; 0.0; 0.08467368466275482; -0.144259923810622; -0.1096332135248525]
80,2,3,1,2,0.4,0.005354113,true,5.454580945637565e-11,0.039999997663150155,0.03999999978314778,[0.0; 0.0; 0.0; -0.017637901631853962; -0.1636153169205756; -0.11366148202009624]
81,2,3,1,2,0.4,0.005478483,true,4.744696643028857e-10,0.039999976390960944,0.03999999965872654,[0.0; 0.0; 0.0; 0.09818232606930483; -0.0640183688168106; -0.16205517363433827]
82,2,3,1,2,0.4,0.005271614,true,3.151411878040377e-9,0.03999996648131099,0.04000000107185627,[0.0; 0.0; 0.0; -0.0028181985462060735; -0.10247395614699184; -0.17172986364793563]
83,2,3,1,2,0.4,0.005221323,true,5.9195212675989e-11,0.03999999608248894,0.03999999958702438,[0.0; 0.0; 0.0; 0.0019186814637751838; -0.19976511317206153; 0.009498327262946315]
84,2,3,1,2,0.4,0.005454974,true,6.346267061921593e-11,0.03999999697906956,0.03999999963418791,[0.0; 0.0; 0.0; -0.043694319604223306; 0.18755479799298902; -0.05398151706031493]
85,2,3,1,2,0.4,0.005495459,true,7.077199460096697e-11,0.039999994852581565,0.03999999939155186,[0.0; 0.0; 0.0; -0.0038035846802032935; -0.17156356778059348; 0.1027203726335445]
86,2,3,1,2,0.4,0.00482872,true,1.8800636631387437e-10,0.03999999540011423,0.03999999966209016,[0.0; 0.0; 0.0; -0.07547092644816956; -0.17847148829670692; 0.049518351408476664]
87,2,3,1,2,0.4,0.00485239,true,8.976019031373817e-11,0.039999995153143085,0.03999999924454111,[0.0; 0.0; 0.0; 0.06666439471350182; 0.17184696045091166; 0.07761752805433346]
88,2,3,1,2,0.4,0.005062895,true,1.395653136653061e-9,0.03999997058037577,0.03999999798601011,[0.0; 0.0; 0.0; -0.0631769905048568; 0.10666423116876736; 0.15694396981064612]
89,2,3,1,2,0.4,0.005093378,true,8.144988159925466e-11,0.03999999601918982,0.03999999947266548,[0.0; 0.0; 0.0; 0.1159661647415785; -0.16012763212639555; -0.030182611959915284]
90,2,3,1,2,0.4,0.004652849,true,1.1547185899488347e-10,0.03999999667347743,0.039999999608666584,[0.0; 0.0; 0.0; 0.06778875835051064; -0.15372894035215942; -0.10849929557143811]
91,2,3,1,2,0.4,0.004278873,true,1.0459173470764654e-9,0.03999998576466446,0.04000000036906412,[0.0; 0.0; 0.0; -0.08707476063257395; 0.014875301858353077; -0.17943442104402052]
92,2,3,1,2,0.4,0.004617268,true,4.956353095763337e-11,0.03999999741992166,0.03999999982054352,[0.0; 0.0; 0.0; 0.18555370062289178; -0.06488752749924774; 0.03687048901472048]
93,2,3,1,2,0.4,0.004325213,true,2.4471394224174187e-10,0.039999992104211006,0.03999999958198755,[0.0; 0.0; 0.0; -0.16403408119504945; 0.044932132359220785; 0.10523271206307193]
94,2,3,1,2,0.4,0.004227846,true,6.930129361899024e-10,0.03999998119150986,0.03999999866700981,[0.0; 0.0; 0.0; -0.0913210876410857; -0.07003490734812211; 0.16357130159288058]
95,2,3,1,2,0.4,0.00456453,true,5.465558348298489e-11,0.03999999734331686,0.039999999825080325,[0.0; 0.0; 0.0; 0.16291401552037002; 0.03230858343695752; -0.11142342205894502]
96,2,3,1,2,0.4,0.004510266,true,6.102919569899527e-11,0.039999997643714265,0.03999999992317167,[0.0; 0.0; 0.0; 0.09995371505078006; -0.09505876144118675; -0.1448208780556692]
97,2,3,1,2,0.4,0.004240757,true,9.585144881077535e-11,0.03999999479672334,0.039999999788392526,[0.0; 0.0; 0.0; -0.19074942496644032; 0.03924409048409247; 0.04554731865926612]
98,2,3,1,2,0.4,0.004174179,true,7.908914911876207e-10,0.03999997911469906,0.03999999839178452,[0.0; 0.0; 0.0; -0.062290504011140814; -0.07035265308749765; 0.17655140133566843]
