n,m,space_dim,codim,relative_codim,max_nontrunc_eig,max_trunc_eig,solver_status
7,6,28,6,0,4.336830851116641,3.825281760033138e-8,OPTIMAL
7,6,28,6,0,3.5355875512283395,3.978952918358965e-8,OPTIMAL
7,6,28,6,0,3.8398193996866126,1.0023765909222318e-8,OPTIMAL
7,6,28,6,0,3.625158890668909,4.4123914483287196e-9,OPTIMAL
7,6,28,6,0,7.807393178328597,9.045645309071435e-9,OPTIMAL
7,6,28,6,0,3.257536247187503,7.84303476146352e-9,OPTIMAL
7,6,28,6,0,6.010509833229473,4.359648200540718e-9,OPTIMAL
7,6,28,6,0,5.171466876169674,9.82161670751451e-10,OPTIMAL
7,6,28,6,0,5.60096559145543,1.963532368138116e-8,OPTIMAL
7,6,28,6,0,5.5964628502818,3.545765782515513e-9,OPTIMAL
7,6,28,6,0,12.577877642302958,1.5203146449858845e-10,OPTIMAL
7,6,28,6,0,9.416606198353811,5.875722919168144e-9,OPTIMAL
7,6,28,6,0,2.212697466293885,2.0470567491964982e-9,OPTIMAL
7,6,28,6,0,8.401173033836251,2.512902120902421e-9,OPTIMAL
7,6,28,6,0,4.345263350830309,6.699789717268199e-10,OPTIMAL
7,6,28,6,0,4.1856234627312405,1.0628312396273116e-9,OPTIMAL
7,6,28,6,0,2.460990733718957,2.63177803098587e-9,OPTIMAL
7,6,28,6,0,3.229084268871317,1.2472184852711673e-8,OPTIMAL
7,6,28,6,0,3.3143772961107882,4.5373478839811375e-10,OPTIMAL
7,6,28,6,0,7.430613993610004,1.1578713668012967e-8,OPTIMAL
7,6,28,6,0,4.440407056423243,1.917654014440329e-9,OPTIMAL
7,6,28,6,0,4.476475155526955,6.077073078013578e-10,OPTIMAL
7,6,28,10,4,1.6029164967492353,6.101532425575233e-7,OPTIMAL
7,6,28,6,0,3.6169850486688104,1.2787788066212501e-8,OPTIMAL
7,6,28,6,0,5.5792231704197075,2.8412264551002742e-8,OPTIMAL
7,6,28,6,0,7.859584552028976,1.4001560019568536e-8,OPTIMAL
7,6,28,6,0,2.21968048231839,1.1051428220929031e-8,OPTIMAL
7,6,28,6,0,6.919024323537658,4.6483650725953486e-9,OPTIMAL
7,6,28,6,0,2.8090398807651162,6.165467654612981e-8,OPTIMAL
7,6,28,6,0,3.9119389559445676,5.465776575272295e-10,OPTIMAL
7,6,28,6,0,10.19193786535451,1.3473384005341357e-9,OPTIMAL
7,6,28,6,0,3.2174125845171004,2.0888375707683764e-8,OPTIMAL
7,6,28,6,0,4.085148292428414,2.179071046661512e-8,OPTIMAL
7,6,28,6,0,2.9392736689920635,2.5098129706573757e-8,OPTIMAL
7,6,28,6,0,8.438630103863714,3.962766367390485e-8,OPTIMAL
7,6,28,6,0,2.5686819043766715,1.4194365105241437e-8,OPTIMAL
7,6,28,6,0,4.066000582487538,3.1895241576280773e-9,OPTIMAL
7,6,28,6,0,8.682791839272104,1.7733012083418682e-9,OPTIMAL
7,6,28,6,0,5.141617956820716,8.218859900592341e-9,OPTIMAL
7,6,28,6,0,5.427403036930168,7.161124003014578e-10,OPTIMAL
7,6,28,6,0,6.3316962753415424,2.7655149233388262e-8,OPTIMAL
7,6,28,6,0,5.517598607380723,1.4332512094684572e-8,OPTIMAL
7,6,28,6,0,3.7724822375690583,3.104072015809618e-8,OPTIMAL
7,6,28,6,0,2.617493301011898,4.3218794135654906e-8,OPTIMAL
7,6,28,6,0,6.8150034510295265,2.0256253509078393e-8,OPTIMAL
7,6,28,6,0,8.297304290640566,5.907195835394901e-10,OPTIMAL
7,6,28,6,0,2.7103324673012374,1.0691085257283125e-8,OPTIMAL
7,6,28,6,0,2.5316300010863344,2.738622376102706e-10,OPTIMAL
7,6,28,6,0,4.217990598746711,3.8038302701231364e-9,OPTIMAL
7,6,28,6,0,5.360657180118499,9.273700781364178e-11,OPTIMAL
7,6,28,6,0,2.900204668095602,4.8328643505271894e-9,OPTIMAL
7,6,28,6,0,5.874691365965954,7.962638199895526e-8,OPTIMAL
7,6,28,6,0,7.438168483326568,1.9811536428929893e-9,OPTIMAL
7,6,28,6,0,3.7577828537899145,7.438115552834723e-10,OPTIMAL
7,6,28,6,0,9.422680881364812,6.191661673492274e-10,OPTIMAL
7,6,28,6,0,7.20507106938158,1.1477854380465129e-9,OPTIMAL
